PRODUCT_ID,PRODUCT_DESC,Department_Cat,Section_Cat,Family_Cat,SubFamily_Cat,PROMO_MECHANIC,SUPPLIER_ID
1355604,PRODUCT_1355604,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,348
908987,PRODUCT_908987,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,881
853619,PRODUCT_853619,Department B,SECTION C,FAMILY F,SUBFAMILY L,Straight Discount,233
1124304,PRODUCT_1124304,Department A,SECTION A,FAMILY B,SUBFAMILY C,BOGO,144
1124303,PRODUCT_1124303,Department A,SECTION A,FAMILY B,SUBFAMILY C,BOGO,144
1499591,PRODUCT_1499591,Department A,SECTION A,FAMILY A,SUBFAMILY A,null,76
1437638,PRODUCT_1437638,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,692
1492339,PRODUCT_1492339,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,6513
1456419,PRODUCT_1456419,Department B,SECTION D,FAMILY G,SUBFAMILY M,Straight Discount,270
922248,PRODUCT_922248,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,881
922249,PRODUCT_922249,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,881
1271664,PRODUCT_1271664,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,6294
1274429,PRODUCT_1274429,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,692
1274430,PRODUCT_1274430,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,692
1274431,PRODUCT_1274431,Department A,SECTION A,FAMILY B,SUBFAMILY C,BTGT,692
994603,PRODUCT_994603,Department A,SECTION B,FAMILY C,SUBFAMILY E,Straight Discount,64
884928,PRODUCT_884928,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1124303,PRODUCT_1124303,Department A,SECTION A,FAMILY B,SUBFAMILY C,Straight Discount,144
1049253,PRODUCT_1049253,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,64
1358904,PRODUCT_1358904,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
934607,PRODUCT_934607,Department A,SECTION A,FAMILY A,SUBFAMILY B,BOGO,357
1017329,PRODUCT_1017329,Department A,SECTION B,FAMILY D,SUBFAMILY G,Multiple,64
1114449,PRODUCT_1114449,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,37
1362412,PRODUCT_1362412,Department B,SECTION C,FAMILY F,SUBFAMILY L,Straight Discount,261
934607,PRODUCT_934607,Department A,SECTION A,FAMILY A,SUBFAMILY B,null,357
1242687,PRODUCT_1242687,Department A,SECTION B,FAMILY C,SUBFAMILY E,null,52
1208879,PRODUCT_1208879,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,38
1313847,PRODUCT_1313847,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,52
1486455,PRODUCT_1486455,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,6513
1504575,PRODUCT_1504575,Department A,SECTION B,FAMILY C,SUBFAMILY F,null,52
1503667,PRODUCT_1503667,Department A,SECTION B,FAMILY D,SUBFAMILY G,null,646
1504709,PRODUCT_1504709,Department A,SECTION B,FAMILY D,SUBFAMILY H,null,39
783248,PRODUCT_783248,Department A,SECTION A,FAMILY A,SUBFAMILY A,null,76
1153209,PRODUCT_1153209,Department A,SECTION A,FAMILY B,SUBFAMILY C,Multiple,692
1015895,PRODUCT_1015895,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
